Rank,Overall Acc,Model,Model Link,Total Cost ($),Latency Mean (s),Latency Standard Deviation (s),Latency 95th Percentile (s),Non-Live AST Acc,Non-Live Simple AST,Non-Live Multiple AST,Non-Live Parallel AST,Non-Live Parallel Multiple AST,Live Acc,Live Simple AST,Live Multiple AST,Live Parallel AST,Live Parallel Multiple AST,Multi Turn Acc,Multi Turn Base,Multi Turn Miss Func,Multi Turn Miss Param,Multi Turn Long Context,Web Search Acc,Web Search Base,Web Search No Snippet,Memory Acc,Memory KV,Memory Vector,Memory Recursive Summarization,Relevance Detection,Irrelevance Detection,Format Sensitivity Max Delta,Format Sensitivity Standard Deviation,Organization,License
50,64.91%,gpt-oss-20b LoRA ckpt440-5epoch-v6data-apigen-only1-lr5e-7,self,N/A,N/A,N/A,N/A,79.75%,70.00%,89.50%,0.00%,0.00%,77.96%,79.07%,77.68%,0.00%,0.00%,42.25%,52.00%,36.00%,39.50%,41.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,81.25%,82.34%,N/A,N/A,OpenAI,apache-2.0
51,64.85%,gpt-oss-20b LoRA ckpt440-5epoch-v6data-simple-cot-only-answer-loss-A-method-2-1-2-64-128-256-lr5e-7-40,self,N/A,N/A,N/A,N/A,81.12%,71.75%,90.50%,0.00%,0.00%,78.72%,82.95%,77.68%,0.00%,0.00%,41.50%,53.00%,33.50%,38.50%,41.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87.50%,81.43%,N/A,N/A,OpenAI,apache-2.0
52,64.78%,watt-tool-8B (FC),https://huggingface.co/watt-ai/watt-tool-8B/,N/A,N/A,N/A,N/A,87.33%,76.83%,95.00%,93.00%,84.50%,76.09%,78.29%,75.69%,87.50%,62.50%,37.88%,46.00%,39.50%,24.50%,41.50%,0.00%,0.00%,0.00%,10.75%,0.65%,14.19%,17.42%,75.00%,84.73%,39.0,15.26,Watt AI Lab,Apache-2.0
53,64.77%,gpt-oss-20b LoRA ckpt320-5epoch-v6data-apigen-only1-lr5e-7,self,N/A,N/A,N/A,N/A,79.83%,70.17%,89.50%,0.00%,0.00%,78.79%,81.01%,78.25%,0.00%,0.00%,41.25%,52.50%,34.50%,39.50%,38.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87.50%,82.70%,N/A,N/A,OpenAI,apache-2.0
54,64.75%,gpt-oss-20b LoRA ckpt520-5epoch-v6data-apigen-only1-lr5e-7,self,N/A,N/A,N/A,N/A,78.92%,68.83%,89.00%,0.00%,0.00%,78.41%,81.01%,77.78%,0.00%,0.00%,42.25%,50.50%,37.50%,39.00%,42.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,81.25%,81.90%,N/A,N/A,OpenAI,apache-2.0
55,64.74%,gpt-oss-20b LoRA ckpt280-5epoch-v6data-apigen-only1-lr5e-7,self,N/A,N/A,N/A,N/A,81.08%,71.17%,91.00%,0.00%,0.00%,78.26%,81.01%,77.59%,0.00%,0.00%,41.50%,48.50%,37.00%,40.00%,40.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,93.75%,81.38%,N/A,N/A,OpenAI,apache-2.0
56,64.72%,gpt-oss-20b LoRA ckpt680-5epoch-v6data-simple-cot-only-answer-loss-A-method-2-1-2-64-128-256-lr5e-7-40,self,N/A,N/A,N/A,N/A,82.17%,72.33%,92.00%,0.00%,0.00%,79.56%,84.11%,78.44%,0.00%,0.00%,41.00%,49.50%,33.50%,38.50%,42.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,93.75%,79.90%,N/A,N/A,OpenAI,apache-2.0
57,64.71%,BitAgent-8B,https://huggingface.co/BitAgent/BitAgent-8B/,N/A,N/A,N/A,N/A,87.69%,76.25%,95.00%,93.50%,86.00%,76.17%,78.29%,75.78%,87.50%,62.50%,37.75%,46.00%,37.50%,24.50%,43.00%,0.00%,0.00%,0.00%,10.97%,1.94%,18.71%,12.26%,75.00%,84.18%,39.0,15.22,Bittensor,Apache-2.0
58,64.67%,Qwen3-8B (FC),https://huggingface.co/Qwen/Qwen3-8B,N/A,N/A,N/A,N/A,87.71%,74.83%,95.00%,92.00%,89.00%,80.68%,84.88%,79.77%,75.00%,79.17%,37.88%,41.50%,43.50%,34.50%,32.00%,5.00%,6.00%,4.00%,20.65%,2.58%,17.42%,41.94%,87.50%,79.22%,N/A,N/A,Qwen,apache-2.0
59,64.64%,gpt-oss-20b LoRA ckpt720-5epoch-v6data-simple-cot-only-answer-loss-A-method-2-1-2-64-128-256-lr5e-7-40,self,N/A,N/A,N/A,N/A,82.71%,73.42%,92.00%,0.00%,0.00%,79.56%,82.95%,78.73%,0.00%,0.00%,41.00%,53.50%,34.50%,37.50%,38.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87.50%,78.92%,N/A,N/A,OpenAI,apache-2.0
60,64.58%,gpt-oss-20b LoRA ckpt760-5epoch-v6data-original1-simple-cot-64-128-256-lr5e-7,self,N/A,N/A,N/A,N/A,81.25%,70.50%,92.00%,0.00%,0.00%,78.41%,81.78%,77.59%,0.00%,0.00%,41.88%,53.50%,33.00%,35.50%,45.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,81.25%,79.49%,N/A,N/A,OpenAI,apache-2.0
61,64.32%,gpt-oss-20b LoRA ckpt200-5epoch-llamafactory-and-data-original-train-64-128-256-lr5e-7,self,N/A,N/A,N/A,N/A,79.54%,71.58%,87.50%,0.00%,0.00%,78.49%,84.50%,77.02%,0.00%,0.00%,38.88%,46.00%,34.50%,41.50%,33.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,81.25%,85.83%,N/A,N/A,OpenAI,apache-2.0
62,64.17%,gpt-oss-20b LoRA ckpt400-5epoch-v6data-apigen-only1-lr5e-7,self,N/A,N/A,N/A,N/A,79.42%,68.83%,90.00%,0.00%,0.00%,78.26%,79.84%,77.87%,0.00%,0.00%,40.38%,48.50%,34.50%,36.00%,42.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87.50%,82.43%,N/A,N/A,OpenAI,apache-2.0
