Rank,Overall Acc,Model,Model Link,Total Cost ($),Latency Mean (s),Latency Standard Deviation (s),Latency 95th Percentile (s),Non-Live AST Acc,Non-Live Simple AST,Non-Live Multiple AST,Non-Live Parallel AST,Non-Live Parallel Multiple AST,Live Acc,Live Simple AST,Live Multiple AST,Live Parallel AST,Live Parallel Multiple AST,Multi Turn Acc,Multi Turn Base,Multi Turn Miss Func,Multi Turn Miss Param,Multi Turn Long Context,Web Search Acc,Web Search Base,Web Search No Snippet,Memory Acc,Memory KV,Memory Vector,Memory Recursive Summarization,Relevance Detection,Irrelevance Detection,Format Sensitivity Max Delta,Format Sensitivity Standard Deviation,Organization,License
24,64.31%,gpt-oss-20b LoRA ckpt1290-5epoch-all-zhtw-turn-simple-thinking-test-v5-lr5e-7,self,N/A,N/A,N/A,N/A,80.38%,71.75%,89.00%,0.00%,0.00%,78.64%,84.50%,77.21%,0.00%,0.00%,40.25%,51.50%,28.50%,39.00%,42.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,75.00%,82.06%,N/A,N/A,OpenAI,apache-2.0
25,64.13%,Qwen3-8B (FC),https://huggingface.co/Qwen/Qwen3-8B,N/A,N/A,N/A,N/A,84.92%,74.83%,95.00%,92.00%,89.00%,80.78%,84.88%,79.77%,75.00%,79.17%,37.88%,41.50%,43.50%,34.50%,32.00%,5.00%,6.00%,4.00%,20.65%,2.58%,17.42%,41.94%,87.50%,79.22%,N/A,N/A,Qwen,apache-2.0
26,64.11%,gpt-oss-20b LoRA ckpt880-5epoch-all-zhtw-turn-simple-thinking-test-v5-lr5e-7,self,N/A,N/A,N/A,N/A,80.71%,71.92%,89.50%,0.00%,0.00%,78.41%,84.11%,77.02%,0.00%,0.00%,39.75%,46.00%,31.00%,43.00%,39.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,68.75%,81.91%,N/A,N/A,OpenAI,apache-2.0
27,63.76%,gpt-oss-20b LoRA ckpt280-5epoch-all-zhtw-split-turn-new-lenfiltered-augmentation-lr5e-7,https://huggingface.co/openai/gpt-oss-20b,N/A,N/A,N/A,N/A,72.17%,55.33%,89.00%,0.00%,0.00%,77.12%,81.78%,75.97%,0.00%,0.00%,42.12%,47.50%,43.00%,39.00%,39.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87.50%,85.27%,N/A,N/A,OpenAI,apache-2.0
28,63.68%,gpt-oss-20b LoRA ckpt420-5epoch-all-zhtw-split-turn-lr5e-7-16-64-128,https://huggingface.co/openai/gpt-oss-20b,N/A,N/A,N/A,N/A,76.08%,61.67%,90.50%,0.00%,0.00%,81.01%,85.66%,79.87%,0.00%,0.00%,40.25%,46.00%,42.50%,37.00%,35.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,81.25%,80.79%,N/A,N/A,OpenAI,apache-2.0
29,63.65%,gpt-oss-20b LoRA ckpt1120-5epoch-all-zhtw-turn-simple-thinking-test-v5-lr5e-7,self,N/A,N/A,N/A,N/A,79.88%,69.75%,90.00%,0.00%,0.00%,78.57%,84.88%,77.02%,0.00%,0.00%,38.12%,48.00%,28.00%,35.50%,41.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,75.00%,83.57%,N/A,N/A,OpenAI,apache-2.0
30,63.58%,gpt-oss-20b LoRA ckpt210-5epoch-all-zhtw-split-turn-lr5e-7-16-64-128,https://huggingface.co/openai/gpt-oss-20b,N/A,N/A,N/A,N/A,72.08%,56.67%,87.50%,0.00%,0.00%,76.58%,80.62%,75.59%,0.00%,0.00%,42.00%,46.50%,44.50%,38.50%,38.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,68.75%,85.23%,N/A,N/A,OpenAI,apache-2.0
31,63.49%,gpt-oss-20b LoRA ckpt120-5epoch-all-zhtw-turn-simple-thinking-test-v5-dup-lr5e-7,self,N/A,N/A,N/A,N/A,77.29%,69.08%,85.50%,0.00%,0.00%,76.58%,82.56%,75.12%,0.00%,0.00%,40.00%,47.00%,37.50%,37.00%,38.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87.50%,83.57%,N/A,N/A,OpenAI,apache-2.0
32,62.91%,gpt-oss-20b LoRA ckpt160-5epoch-all-zhtw-turn-simple-thinking-test-lr5e-7,self,N/A,N/A,N/A,N/A,76.62%,68.25%,85.00%,0.00%,0.00%,76.66%,81.78%,75.40%,0.00%,0.00%,38.62%,46.00%,35.00%,36.00%,37.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87.50%,84.02%,N/A,N/A,OpenAI,apache-2.0
33,62.54%,gpt-oss-20b LoRA ckpt560-5epoch-all-zhtw-split-turn-new-lenfiltered-augmentation-lr5e-7,https://huggingface.co/openai/gpt-oss-20b,N/A,N/A,N/A,N/A,78.12%,67.75%,88.50%,0.00%,0.00%,78.34%,82.56%,77.30%,0.00%,0.00%,37.29%,47.00%,34.67%,33.00%,34.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,62.50%,81.67%,N/A,N/A,OpenAI,apache-2.0
34,62.29%,gpt-oss-20b LoRA ckpt490-5epoch-all-zhtw-split-turn-lr5e-7-16-64-128,https://huggingface.co/openai/gpt-oss-20b,N/A,N/A,N/A,N/A,71.42%,53.83%,89.00%,0.00%,0.00%,79.63%,82.17%,79.01%,0.00%,0.00%,40.25%,47.50%,40.00%,38.00%,35.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,75.00%,79.92%,N/A,N/A,OpenAI,apache-2.0
35,62.05%,gpt-oss-20b LoRA ckpt80-5epoch-all-zhtw-turn-simple-thinking-test-v5-lr5e-7,self,N/A,N/A,N/A,N/A,77.33%,67.17%,87.50%,0.00%,0.00%,76.43%,81.40%,75.21%,0.00%,0.00%,36.38%,43.50%,32.50%,36.00%,33.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87.50%,83.72%,N/A,N/A,OpenAI,apache-2.0
36,61.49%,gpt-oss-20b LoRA ckpt140-5epoch-all-zhtw-split-turn-new-lenfiltered-augmentation-lr5e-7,https://huggingface.co/openai/gpt-oss-20b,N/A,N/A,N/A,N/A,70.67%,53.33%,88.00%,0.00%,0.00%,74.22%,80.23%,72.74%,0.00%,0.00%,38.00%,42.50%,40.50%,33.00%,36.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,68.75%,86.57%,N/A,N/A,OpenAI,apache-2.0
37,60.98%,Qwen3-8B (Prompt),https://huggingface.co/Qwen/Qwen3-8B,N/A,N/A,N/A,N/A,86.71%,78.42%,95.00%,92.50%,90.50%,79.63%,82.95%,78.82%,87.50%,75.00%,28.00%,33.00%,36.00%,23.50%,19.50%,2.00%,1.00%,3.00%,13.98%,6.45%,11.61%,23.87%,75.00%,82.55%,20.0,5.32,Qwen,apache-2.0
38,60.88%,gpt-oss-20b LoRA ckpt140-5epoch-all-zhtw-split-turn-lr5e-7-16-64-128,https://huggingface.co/openai/gpt-oss-20b,N/A,N/A,N/A,N/A,67.83%,50.67%,85.00%,0.00%,0.00%,75.90%,81.01%,74.64%,0.00%,0.00%,37.50%,43.50%,39.00%,35.00%,32.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,75.00%,85.65%,N/A,N/A,OpenAI,apache-2.0
39,60.60%,Gemma-4-31B-it(FC) LoRA ckpt180-5epoch-zhtw-split-turn-5120-trans5-empty-cot-lr5e-7,self,N/A,N/A,N/A,N/A,86.50%,77.50%,95.50%,91.50%,87.00%,80.40%,81.40%,80.15%,93.75%,83.33%,45.63%,59.00%,32.50%,36.50%,54.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,93.75%,44.86%,N/A,N/A,Google,gemma-terms-of-use
40,60.53%,Gemma-4-31B-it(FC) LoRA ckpt90-5epoch-zhtw-split-turn-5120-trans5-empty-cot-lr5e-7,self,N/A,N/A,N/A,N/A,86.25%,77.50%,95.00%,91.50%,87.00%,78.95%,78.68%,79.01%,87.50%,79.17%,47.25%,63.00%,32.50%,37.50%,56.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,93.75%,42.96%,N/A,N/A,Google,gemma-terms-of-use
41,59.81%,Gemma-4-31B-it(FC) LoRA ckpt270-5epoch-zhtw-split-turn-5120-trans5-empty-cot-lr5e-7,self,N/A,N/A,N/A,N/A,86.75%,77.50%,96.00%,92.00%,88.50%,80.32%,81.40%,80.06%,93.75%,83.33%,43.50%,59.00%,28.00%,35.50%,51.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100.00%,44.99%,N/A,N/A,Google,gemma-terms-of-use
42,59.61%,gpt-oss-20b LoRA ckpt70-5epoch-all-zhtw-split-turn-lr5e-7-16-64-128,https://huggingface.co/openai/gpt-oss-20b,N/A,N/A,N/A,N/A,68.12%,50.25%,86.00%,0.00%,0.00%,73.38%,76.74%,72.55%,0.00%,0.00%,34.75%,37.50%,37.50%,29.50%,34.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,81.25%,87.06%,N/A,N/A,OpenAI,apache-2.0
43,59.28%,gpt-oss-20b LoRA ckpt560-5epoch-all-zhtw-split-turn-lr5e-7-16-64-128,https://huggingface.co/openai/gpt-oss-20b,N/A,N/A,N/A,N/A,63.67%,45.33%,82.00%,0.00%,0.00%,77.19%,77.13%,77.21%,0.00%,0.00%,36.75%,45.50%,35.00%,33.50%,33.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,81.25%,82.05%,N/A,N/A,OpenAI,apache-2.0
44,59.05%,gpt-oss-20b LoRA ckpt630-5epoch-all-zhtw-split-turn-lr5e-7-16-64-128,https://huggingface.co/openai/gpt-oss-20b,N/A,N/A,N/A,N/A,62.42%,42.33%,82.50%,0.00%,0.00%,76.74%,72.87%,77.68%,0.00%,0.00%,36.62%,43.00%,39.00%,34.00%,30.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,81.25%,82.85%,N/A,N/A,OpenAI,apache-2.0
45,58.99%,Gemma-4-31B-it(FC) LoRA ckpt360-5epoch-zhtw-split-turn-5120-trans5-empty-cot-lr5e-7,self,N/A,N/A,N/A,N/A,86.88%,78.25%,95.50%,92.00%,88.00%,81.24%,82.17%,81.01%,93.75%,83.33%,40.62%,56.00%,29.00%,29.00%,48.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100.00%,45.58%,N/A,N/A,Google,gemma-terms-of-use
46,58.75%,Gemma-4-31B-it(FC),self,N/A,N/A,N/A,N/A,86.71%,77.92%,95.50%,91.50%,85.50%,76.89%,77.91%,76.64%,93.75%,79.17%,43.38%,59.00%,30.00%,36.50%,48.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100.00%,43.40%,N/A,N/A,Google,gemma-terms-of-use
47,58.47%,openai/gpt-oss-20b (FC) (vLLM),https://huggingface.co/openai/gpt-oss-20b,N/A,N/A,N/A,N/A,64.42%,45.33%,83.50%,0.00%,0.00%,72.23%,75.58%,71.42%,0.00%,0.00%,34.00%,37.50%,34.50%,34.50%,29.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,75.00%,87.69%,N/A,N/A,OpenAI,apache-2.0
48,57.32%,Gemma-4-31B-it(FC) LoRA ckpt180-5epoch-zhtw-split-turn-5120-trans5-empty-cot-lr5e-6,self,2.75,1.31,12.09,1.97,88.12%,80.25%,96.00%,93.00%,89.00%,80.32%,80.23%,80.34%,87.50%,75.00%,26.75%,40.50%,12.50%,22.00%,32.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,93.75%,64.63%,N/A,N/A,Google,gemma-terms-of-use
49,57.27%,Gemma-4-31B-it(FC) LoRA ckpt90-5epoch-zhtw-split-turn-5120-trans5-empty-cot-lr5e-6,self,N/A,N/A,N/A,N/A,87.46%,79.92%,95.00%,92.00%,87.00%,79.41%,78.29%,79.68%,87.50%,79.17%,32.00%,41.50%,23.50%,25.00%,38.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100.00%,55.50%,N/A,N/A,Google,gemma-terms-of-use
50,57.02%,Gemma-4-31B-it(FC) LoRA ckpt450-5epoch-zhtw-split-turn-5120-trans5-empty-cot-lr5e-7,self,N/A,N/A,N/A,N/A,87.17%,78.33%,96.00%,92.00%,88.00%,81.24%,82.95%,80.82%,93.75%,83.33%,34.88%,49.50%,24.00%,26.00%,40.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100.00%,46.94%,N/A,N/A,Google,gemma-terms-of-use
51,56.05%,Gemma-4-31B-it(FC) LoRA ckpt270-5epoch-zhtw-split-turn-5120-trans5-empty-cot-lr5e-6,self,3.16,1.55,16.2,2.28,87.50%,79.00%,96.00%,93.50%,88.00%,80.47%,79.07%,80.82%,87.50%,75.00%,25.75%,39.00%,7.50%,21.00%,35.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,93.75%,60.80%,N/A,N/A,Google,gemma-terms-of-use
52,55.73%,gpt-oss-20b LoRA ckpt700-5epoch-all-zhtw-split-turn-lr5e-7-16-64-128,https://huggingface.co/openai/gpt-oss-20b,N/A,N/A,N/A,N/A,51.38%,28.75%,74.00%,0.00%,0.00%,73.00%,62.40%,75.59%,0.00%,0.00%,35.12%,39.50%,36.00%,36.50%,28.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,75.00%,84.04%,N/A,N/A,OpenAI,apache-2.0
53,55.22%,Gemma-4-31B-it(FC) LoRA ckpt450-5epoch-zhtw-split-turn-5120-trans5-empty-cot-lr5e-6,self,10.04,5.25,52.49,10.57,86.71%,77.92%,95.50%,95.00%,93.50%,82.30%,83.72%,81.96%,87.50%,75.00%,24.50%,33.50%,9.50%,22.00%,33.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87.50%,58.08%,N/A,N/A,Google,gemma-terms-of-use
54,54.17%,gpt-oss-20b LoRA ckpt910-5epoch-all-zhtw-split-turn-lr5e-7-16-64-128,https://huggingface.co/openai/gpt-oss-20b,N/A,N/A,N/A,N/A,47.83%,20.17%,75.50%,0.00%,0.00%,70.86%,61.24%,73.22%,0.00%,0.00%,33.12%,39.50%,31.50%,34.50%,27.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,62.50%,85.90%,N/A,N/A,OpenAI,apache-2.0
55,54.11%,Mistral-Small-3.2-24B-Instruct-2506,https://huggingface.co/mistralai/Mistral-Small-3.2-24B-Instruct-2506,N/A,N/A,N/A,N/A,66.62%,40.25%,93.00%,84.50%,73.50%,76.58%,69.38%,78.35%,75.00%,75.00%,19.25%,23.50%,14.00%,18.00%,21.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87.50%,88.83%,N/A,N/A,Mistral AI,Proprietary
56,53.62%,gpt-oss-20b LoRA ckpt840-5epoch-all-zhtw-split-turn-lr5e-7-16-64-128,https://huggingface.co/openai/gpt-oss-20b,N/A,N/A,N/A,N/A,45.58%,21.17%,70.00%,0.00%,0.00%,69.72%,56.59%,72.93%,0.00%,0.00%,33.25%,41.00%,34.00%,31.50%,26.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,62.50%,86.32%,N/A,N/A,OpenAI,apache-2.0
57,53.58%,Gemma-4-31B-it(FC) LoRA ckpt360-5epoch-zhtw-split-turn-5120-trans5-empty-cot-lr5e-6,self,2.46,1.23,9.87,2.2,86.46%,76.92%,96.00%,95.00%,92.50%,80.78%,80.62%,80.82%,87.50%,75.00%,23.50%,37.00%,5.00%,20.50%,31.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,93.75%,53.67%,N/A,N/A,Google,gemma-terms-of-use
58,53.26%,gpt-oss-20b LoRA ckpt770-5epoch-all-zhtw-split-turn-lr5e-7-16-64-128,https://huggingface.co/openai/gpt-oss-20b,N/A,N/A,N/A,N/A,44.67%,24.83%,64.50%,0.00%,0.00%,70.18%,56.20%,73.60%,0.00%,0.00%,32.88%,38.00%,33.50%,32.00%,28.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,62.50%,85.70%,N/A,N/A,OpenAI,apache-2.0
59,52.87%,gpt-oss-20b LoRA ckpt980-5epoch-all-zhtw-split-turn-lr5e-7-16-64-128,https://huggingface.co/openai/gpt-oss-20b,N/A,N/A,N/A,N/A,43.62%,21.25%,66.00%,0.00%,0.00%,70.40%,56.98%,73.69%,0.00%,0.00%,32.12%,37.50%,32.50%,31.00%,27.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,50.00%,86.05%,N/A,N/A,OpenAI,apache-2.0
60,52.55%,gpt-oss-20b LoRA ckpt700-5epoch-all-zhtw-split-turn-new-lenfiltered-augmentation-lr5e-7,https://huggingface.co/openai/gpt-oss-20b,N/A,N/A,N/A,N/A,71.71%,61.42%,82.00%,0.00%,0.00%,69.34%,70.54%,69.04%,0.00%,0.00%,20.12%,22.50%,22.00%,15.50%,20.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,75.00%,81.44%,N/A,N/A,OpenAI,apache-2.0
61,50.53%,Qwen/Qwen2.5-7B-Instruct,https://huggingface.co/Qwen/Qwen2.5-7B-Instruct,N/A,N/A,N/A,N/A,81.50%,68.50%,94.50%,91.00%,85.00%,72.85%,70.16%,73.50%,56.25%,58.33%,14.62%,21.00%,12.50%,15.00%,10.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,81.25%,69.04%,N/A,N/A,Qwen,apache-2.0
